Sample ID,creator,creator-email,project,harvest-date,COM,taxonomy-id,strain,OD600 growth-stage,sample-time,antibody,Temperature (degrees C),base-media,isolate-type,carbon-source,nitrogen-source,phosphorous-source,Sulfur-source,electron-acceptor,supplement,antibiotic,biological-replicate-number,technical-replicate-number,experiment-details,notes,R1,R2,SeqLoc
U01_308,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/21/18,1,,AB5075,0.3923,0hr,,37,RPMI+10%LB,,,,,,,,None,1,1,20170725_COM_MRSA_without-priming_SOP,THIS IS THE PRECULTURE,,,
U01_309,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/21/18,1,,AB5075,0.4082,0hr,,37,RPMI+10%LB,,,,,,,,None,1,1,20170725_COM_MRSA_without-priming_SOP,THIS IS THE PRECULTURE,,,
U01_310,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/21/18,1,,AB5075,0.8266,2.5hr,,37,RPMI+10%LB,,,,,,,,Azithromycin 0,1,1,20170725_COM_MRSA_without-priming_SOP,,,,
U01_311,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/21/18,1,,AB5075,0.6611,2.5hr,,37,RPMI+10%LB,,,,,,,,Azithromycin 0.27,1,1,20170725_COM_MRSA_without-priming_SOP,,,,
U01_312,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/21/18,1,,AB5075,0.4521,2.5hr,,37,RPMI+10%LB,,,,,,,,Azithromycin 0.3 ,1,1,20170725_COM_MRSA_without-priming_SOP,,,,
U01_313,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/21/18,1,,AB5075,0.8485,2.5hr,,37,RPMI+10%LB,,,,,,,,Azithromycin 0,2,1,20170725_COM_MRSA_without-priming_SOP,,,,
U01_314,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/21/18,1,,AB5075,0.8403,2.5hr,,37,RPMI+10%LB,,,,,,,,Azithromycin 0.27,2,1,20170725_COM_MRSA_without-priming_SOP,,,,
U01_315,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/21/18,1,,AB5075,0.6148,2.5hr,,37,RPMI+10%LB,,,,,,,,Azithromycin 0.3 ,2,1,20170725_COM_MRSA_without-priming_SOP,,,,
U01_320,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/26/18,1,,AB5075,0.4209,0hr,,37,CA-MHB,,,,,,,,None,1,1,20170725_COM_MRSA_without-priming_SOP,THIS IS THE PRECULTURE,PAL007_S7_L001_R1_001.fastq.gz,PAL007_S7_L001_R2_001.fastq.gz,2018-08-22-Berkeley HiSeq
U01_321,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/26/18,1,,AB5075,0.4198,0hr,,37,CA-MHB,,,,,,,,None,2,1,20170725_COM_MRSA_without-priming_SOP,THIS IS THE PRECULTURE,PAL008_S8_L001_R1_001.fastq.gz,PAL008_S8_L001_R2_001.fastq.gz,2018-08-22-Berkeley HiSeq
U01_322,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/26/18,1,,AB5075,0.6419,2.5hr,,37,CA-MHB,,,,,,,,Azithromycin 0,1,1,20170725_COM_MRSA_without-priming_SOP,,PAL049_S49_L001_R1_001.fastq.gz,PAL049_S49_L001_R2_001.fastq.gz,2018-08-22-Berkeley HiSeq
U01_323,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/26/18,1,,AB5075,0.6647,2.5hr,,37,CA-MHB,,,,,,,,Azithromycin 0.3 ,1,1,20170725_COM_MRSA_without-priming_SOP,,PAL050_S50_L001_R1_001.fastq.gz,PAL050_S50_L001_R2_001.fastq.gz,2018-08-22-Berkeley HiSeq
U01_324,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/26/18,1,,AB5075,0.4787,2.5hr,,37,CA-MHB,,,,,,,,Azithromycin 28,1,1,20170725_COM_MRSA_without-priming_SOP,,PAL001_S1_L001_R1_001.fastq.gz,PAL001_S1_L001_R2_001.fastq.gz,2018-08-22-Berkeley HiSeq
U01_325,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/26/18,1,,AB5075,0.271,2.5hr,,37,CA-MHB,,,,,,,,Azithromycin 40 ,1,1,20170725_COM_MRSA_without-priming_SOP,,PAL002_S2_L001_R1_001.fastq.gz,PAL002_S2_L001_R2_001.fastq.gz,2018-08-22-Berkeley HiSeq
U01_326,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/26/18,1,,AB5075,0.6622,2.5hr,,37,CA-MHB,,,,,,,,Azithromycin 0,2,1,20170725_COM_MRSA_without-priming_SOP,,PAL003_S3_L001_R1_001.fastq.gz,PAL003_S3_L001_R2_001.fastq.gz,2018-08-22-Berkeley HiSeq
U01_327,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/26/18,1,,AB5075,0.6801,2.5hr,,37,CA-MHB,,,,,,,,Azithromycin 0.3 ,2,1,20170725_COM_MRSA_without-priming_SOP,,PAL004_S4_L001_R1_001.fastq.gz,PAL004_S4_L001_R2_001.fastq.gz,2018-08-22-Berkeley HiSeq
U01_328,Hannah Tsunemoto,htsunemo@ucsd.edu,U01-Set003,6/26/18,1,,AB5075,0.5108,2.5hr,,37,CA-MHB,,,,,,,,Azithromycin 28,2,1,20170725_COM_MRSA_without-priming_SOP,,PAL005_S5_L001_R1_001.fastq.gz,PAL005_S5_L001_R2_001.fastq.gz,2018-08-22-Berkeley HiSeq
