,BioProject,BioSample,Body_Site,Replicate,Title,Media,Condition,Growth Phase,Isolate,Growth Rate,OD-600,Genetic Changes; Name,NOTES,Reference,InsertDev,InsertSize,LibraryLayout,LibrarySelection,LibrarySource,LibraryStrategy,Manual Strain,Unnamed: 23,Model,Platform,Project,ProjectID,ReleaseDate,Run,SRAStudy,Sample,ScientificName,Submission,TaxID,class_tax_id,species,species_tax_id,strain_tax_id,R1,R2
1,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2500,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_10_S38_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_10_S38_L001_R2_001.fastq.gz
2,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2500,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_11_S39_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_11_S39_L001_R2_001.fastq.gz
3,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2500,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_12_S40_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_12_S40_L001_R2_001.fastq.gz
4,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2500,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_13_S41_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_13_S41_L001_R2_001.fastq.gz
5,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2500,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_14_S42_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_14_S42_L001_R2_001.fastq.gz
6,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2500,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_15_S43_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_15_S43_L001_R2_001.fastq.gz
7,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2500,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_16_S44_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_16_S44_L001_R2_001.fastq.gz
8,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2500,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_9_S37_L001_R1_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-16-IGM-NovaSeq/_UO1_HRS_A__baumannii_Precise_Sample_9_S37_L001_R2_001.fastq.gz
9,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2500,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-20-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample1_S1_R1_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-20-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample1_S1_R2_001.fastq.gz
10,,,,,,,,,AB5075,,,WT,,AB5075,,,PAIRED,cDNA,TRANSCRIPTOMIC,RNA-Seq,AB5075,,Illumina HiSeq 2500,ILLUMINA,,,,,,,,,,,,,,s3://sbrg-sequencing-files/2020-01-20-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample2_S2_R1_001.fastq.gz,s3://sbrg-sequencing-files/2020-01-20-salk-nextseq/UO1_HRS_A_baumannii_Precise_Sample2_S2_R2_001.fastq.gz
